term	year	subject	label	number	description	prereq	hours	geneds
Fall	2023	AAS	Intro Asian American Studies	100	Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Fall	2023	AAS	U.S. Race and Empire	200	Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.		3 hours	Cultural Studies - US Minority,Humanities – Hist & Phil
Fall	2023	AAS	US Racial & Ethnic Politics	201	Same as AFRO 201, LLS 201, and PS 201. See PS 201.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Fall	2023	AAS	US Citizenship Comparatively	215	Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215. 	One of: AAS 100, AAS 120, AFRO 100 AIS 101, GWS 250, LLS 100.	3 hours	Cultural Studies - US Minority,Humanities – Hist & Phil
Fall	2023	AAS	Intro Asian American Theatre	260	Same as THEA 260. See THEA 260.		3 hours	Cultural Studies - US Minority
Fall	2023	AAS	Constructing Race in America	281	Same as AFRO 281, HIST 281, and LLS 281. See HIST 281.		3 hours	Cultural Studies - US Minority,Humanities – Hist & Phil
Fall	2023	AAS	Asian American Literature	286	Same as ENGL 286. See ENGL 286.		3 hours	Cultural Studies - US Minority,Humanities – Lit & Arts
Fall	2023	AAS	Asian Families in America	297	Same as HDFS 221 and SOCW 297. See SOCW 297.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Fall	2023	AAS	Race and Cultural Diversity	310	Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPOL 310.		4 hours	Cultural Studies - US Minority,Advanced Composition
Fall	2023	AAS	Race and Mixed Race	355	Same as LLS 355 and SOC 355. See LLS 355.		3 hours	
Fall	2023	AAS	Literatures of the Displaced	357	Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.		3 hours	
Fall	2023	AAS	Adv Asian Am Undergrad Reading	395	Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. 	AAS 100.	2 OR 3 hours	
Fall	2023	AAS	Asian American Education	402	Same as EPS 402 and EPOL 402. See EPOL 402.		4 hours	Cultural Studies - US Minority,Advanced Composition
Fall	2023	AAS	Race, Medicine, and Society	479	Same as ANTH 479 and LLS 479. See LLS 479.		3 OR 4 hours	
Fall	2023	AAS	Adv Topics in Asian Am Studies	490	Research seminar on specialized topics in Asian American Studies. 3 or 4 undergraduate hours. 3 or 4 graduate hours. May be repeated if topics vary. Students may register in more than one section per term if topics vary. 	AAS 100 or any Asian American Studies course, or consent of instructor.	3 OR 4 hours	
Fall	2023	AAS	Asian Am Studies Seminar	590	Approved for letter and S/U grading. May be repeated to a maximum of 8 hours. 	Graduate standing or consent of instructor.	2 TO 4 hours	
Fall	2023	ABE	Introduction to Agricultural & Biological Engineering	127	Introduction to the engineering profession with career opportunities in the agricultural and biological engineering disciplines. Interactive class activities include concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and team building. Students become familiar with laboratories, computer facilities, and other opportunities that are available to agricultural and biological engineering students. Class emphasis is on problem-solving skills, information synthesis, and technical communication. May not receive credit for both ABE 100 and ABE 127.		2 hours	
Fall	2023	ABE	Undergraduate Open Seminar	199	May be repeated to a maximum of 12 hours.		1 TO 5 hours	
Fall	2023	ABE	ABE Principles: Machine Syst	223	Machinery systems for off-road applications: internal combustion engines; fluid power; tractors, and traction; chemical application; grain harvesting. 	One of MATH 220, MATH 221, MATH 234.	2 hours	
Fall	2023	ABE	ABE Principles: Soil & Water	224	Engineering principles and methods of design and management of natural resources and environmental systems; watershed and hydrologic cycle; infiltration and surveying; runoff and erosion; water quality; non-point source pollution. 	One of MATH 220, MATH 221, MATH 234.	2 hours	
Fall	2023	ABE	Context in International Interventions	232	This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233.		3 hours	Social & Beh Sci - Soc Sci,Cultural Studies - Non-West
Fall	2023	ABE	Thermodynamics for Agricultural and Biological Engineering	340	Fundamental concepts of thermodynamics will be presented and applied to the discipline of Agricultural and Biological Engineering. Topics include: forms of energy, first and second laws of thermodynamics, energy balances on closed and open systems, entropy, refrigeration and cooling. Thermodynamic principles will be applied to Agricultural and Biological Engineering systems: thermodynamics of flow processes, mass and energy balances for non-reacting systems, mechanical energy balances, thermodynamics of food drying, freezing and reaction kinetics of biological systems. Credit is not given toward graduation for ABE 340 and either ME 200 or CHBE 321. 	MATH 241.	3 hours	
Fall	2023	ABE	Independent Study	397	Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. 	Consent of instructor.	1 TO 4 hours	
Fall	2023	ABE	Special Topics	398	Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate term if topics vary to a maximum of 12 hours.		1 TO 3 hours	
Fall	2023	ABE	Principles of Mobile Robotics	426	Prepares students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. Covers three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). Same as ECE 426. 4 undergraduate hours. 4 graduate hours. 	MATH 221, MATH 225, and MATH 285, or ABE 415, or ABE 440, IE 300, or STAT 400 or equiv, CS 125 or equiv., or graduate standing.	4 hours	
Fall	2023	ABE	Project Management	430	Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as ETMA 430. 2 undergraduate hours. 2 graduate hours.		2 hours	
Fall	2023	ABE	Renewable Energy Systems	436	Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and TSM 438. 	PHYS 211.	3 OR 4 hours	
Fall	2023	ABE	Applied Statistical Methods I	440	Same as ANSC 440, CPSC 440, FSHN 440, NRES 440, and NUTR 440. See CPSC 440.		4 hours	
Fall	2023	ABE	Statistical Methods	445	Same as ANSC 445 and NRES 445. See ANSC 445.		4 hours	
Fall	2023	ABE	Drainage and Water Management	459	Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. 	Credit or concurrent registration in TAM 335.	3 OR 4 hours	
Fall	2023	ABE	Engineering Off-Road Vehicles	466	Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and ETMA 464. 	ABE 340 or ME 200.	3 hours	
