term	year	subject	label	number	description	prereq	hours	geneds
Spring	2024	AAS	Intro Asian American Studies	100	Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Spring	2024	AAS	U.S. Race and Empire	200	Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200.		3 hours	Cultural Studies - US Minority,Humanities – Hist & Phil
Spring	2024	AAS	US Racial & Ethnic Politics	201	Same as AFRO 201, LLS 201, and PS 201. See PS 201.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Spring	2024	AAS	The Politics of Fashion	275	Same as GWS 275. See GWS 275.		3 hours	Cultural Studies - US Minority
Spring	2024	AAS	Asian American History	283	Same as HIST 283. See HIST 283.		3 hours	Cultural Studies - US Minority,Humanities – Hist & Phil
Spring	2024	AAS	Asian American Literature	286	Same as ENGL 286. See ENGL 286.		3 hours	Cultural Studies - US Minority,Humanities – Lit & Arts
Spring	2024	AAS	Asian Families in America	297	Same as HDFS 221 and SOCW 297. See SOCW 297.		3 hours	Cultural Studies - US Minority,Social & Beh Sci - Soc Sci
Spring	2024	AAS	Theories of Race, Gender, and Sexuality	300	Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305.		3 hours	Advanced Composition
Spring	2024	AAS	Race and Cultural Diversity	310	Same as AFRO 310, EPOL 310, EPS 310, and LLS 310. See EPOL 310.		4 hours	Cultural Studies - US Minority,Advanced Composition
Spring	2024	AAS	Literatures of the Displaced	357	Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357.		3 hours	
Spring	2024	AAS	Race, Sex, and Deviance	465	Same as AFRO 465, GWS 465, and LLS 465. See LLS 465.		3 OR 4 hours	
Spring	2024	AAS	Youth, Culture and Society	539	Examines youth as a historically and culturally specific social formation; examines discursive and material positioning of youth within broader intersecting racial, cultural, socio-economic, gender and political contexts to situate youth and youth cultural practices within global and local processes. Specific topics include youth cultures, juvenile justice, education, labor, consumerism, politics, sexuality and activism, as well as methodological considerations of conducting research on youth. Same as EPOL 518, EPS 539, and HDFS 539. 4 graduate hours. No professional credit.		4 hours	
Spring	2024	ABE	Applied Biology for Agricultural and Biological Engineers	128	Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.		3 hours	
Spring	2024	ABE	Water in the Global Environment	152	This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course.		3 hours	Nat Sci & Tech - Phys Sciences,Cultural Studies - Non-West
